date,num_building_permits,construction_cost_index,num_residential_sales,avg_price_eur
2013-01-01,869.0,83.5,2345.0,80492.96844349681
2013-04-01,919.0,80.1,2601.0,82566.32256824298
2013-07-01,847.0,81.7,2008.0,77141.55428286853
2013-10-01,808.0,79.4,2285.0,74166.76411378555
2014-01-01,729.0,81.7,2345.0,71928.06268656717
2014-04-01,850.0,80.1,2703.0,76810.7680355161
2014-07-01,773.0,80.8,2525.0,75033.57663366337
2014-10-01,814.0,80.4,2791.0,83891.28878538158
2015-01-01,1097.0,82.4,2627.0,78917.7266844309
2015-04-01,1345.0,81.0,3078.0,79173.54320987655
2015-07-01,1370.0,81.3,2949.0,82616.12343167176
2015-10-01,1242.0,80.6,3376.0,80890.5885663507
2016-01-01,1414.0,79.9,3286.0,80024.81862446744
2016-04-01,1942.0,78.8,3787.0,84401.50726168472
2016-07-01,1772.0,80.2,3239.0,82675.20037048472
2016-10-01,1681.0,82.7,3706.0,83855.34565569347
2017-01-01,1435.0,83.8,3850.0,87087.93662337662
2017-04-01,1799.0,81.7,4127.0,89857.91858492851
2017-07-01,1683.0,84.7,3423.0,90223.14139643588
2017-10-01,1787.0,86.7,3846.0,90495.87909516381
2018-01-01,1451.0,84.8,3563.0,97057.5952848723
2018-04-01,1814.0,86.6,3490.0,94936.22951289399
2018-07-01,1733.0,87.9,3140.0,97585.11401273885
2018-10-01,1535.0,86.7,3709.0,108943.36478835266
2019-01-01,1343.0,88.7,3361.0,95835.59357334126
2019-04-01,1735.0,87.7,3611.0,96927.70949875381
2019-07-01,1568.0,91.7,3494.0,98322.22352604465
2019-10-01,1508.0,88.5,3605.0,101316.64160887655
2020-01-01,1262.0,90.4,2857.0,101048.48827441371
2020-04-01,1269.0,89.8,2216.0,103756.33889891696
2020-07-01,1711.0,92.4,3457.0,102847.95024587793
2020-10-01,1676.0,88.7,3082.0,107028.40038935756
2021-01-01,1444.0,95.4,2681.0,123947.27977620291
2021-04-01,1810.0,96.4,4153.0,118274.3986178666
2021-07-01,1831.0,105.5,3515.0,115331.4220910384
2021-10-01,1642.0,102.8,3578.0,127021.98929010621
2022-01-01,1597.0,108.8,3500.0,129005.95973714285
2022-04-01,1745.0,112.3,3488.0,137692.19683486238
2022-07-01,1540.0,115.9,3067.0,130137.69332898597
2022-10-01,1504.0,120.5,2814.0,135242.31219616203
2023-01-01,1456.0,120.6,2720.0,146001.45683823532
2023-04-01,1676.0,123.2,2576.0,155857.3839673913
2023-07-01,1521.0,121.0,2426.0,143951.68977741137
2023-10-01,1319.0,126.4,2578.0,164646.48685027153
2024-01-01,1355.0,125.8615253310886,2241.0,174329.8746095493
2024-04-01,1501.0,129.0149997503652,2157.0,168554.27909133057
2024-07-01,1460.0,122.8,1790.0,168105.41117318434
2024-10-01,1586.0,131.3,2287.0,166795.77437691297
